name_en,name_cn,symbol,market,start_date,end_date,start_close,end_close,abs_change,pct_change,best_close,best_close_date,end_pe,end_close_percentile,pe_percentile_5y,ps_percentile_5y,peg_ratio,fcf_yield,entry_conditions_met,entry_recommendation,refresh_interval_days,next_refresh_date,current_ps,forward_pe,pe_coverage_years,ps_coverage_years,score_hist_valuation,score_abs_valuation,score_peer_valuation,score_peg,score_growth_quality,score_balance_sheet,score_shareholder_return,score_support,score_sentiment,value_score,value_score_tier,entry_reason,tier_reason,name
Texas Instruments,德州仪器,TXN,US,2023-11-14,2025-11-12,149.92999267578125,163.08999633789062,13.160003662109375,8.777432338416407,221.25,2025-07-11,29.81535582045532,0.1634768740031898,0.10416666666666667,0.1377245508982036,,0.014036288190905123,2,可评估入场,1,2025-11-13,8.633398392959112,27.736393,0.38095238095238093,0.0,7.0,0.0,5.0,0.0,0.0,4.0,10.0,5.0,3.0,34.0,观望,可评估入场,观望: 估值7.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产4.0+回报10.0+支撑5.0+情绪3.0,Texas Instruments（德州仪器）
Taiwan Semiconductor,台积电,TSM,US,2023-11-14,2025-11-12,98.91000366210938,290.6199951171875,191.70999145507812,193.8226512557685,305.0899963378906,2025-10-29,0.9499224896221816,0.9808612440191388,0.6770833333333334,0.9520958083832335,,0.5868269686988146,1,暂不建议入场,21,2025-12-03,0.41503140343164974,35.967823,0.38095238095238093,0.0,1.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,51.0,合理区,暂不建议入场,合理区: 估值1.0+绝对10.0+同行0.0+PEG0.0+增长0.0+资产10.0+回报10.0+支撑10.0+情绪0.0,Taiwan Semiconductor（台积电）
ASML,阿斯麦,ASML,EU,2023-11-14,2025-11-12,675.4099731445312,1037.3299560546875,361.91998291015625,53.58522931267241,1098.949951171875,2024-07-10,43.95465915485964,0.9768740031897927,0.9367088607594937,0.9421157684630739,,0.022267191868863986,0,暂不建议入场,21,2025-12-03,12.481966067515115,38.851307,0.626984126984127,0.0,0.0,0.0,5.0,0.0,0.0,10.0,10.0,5.0,0.0,30.0,观望,暂不建议入场,观望: 估值0.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产10.0+回报10.0+支撑5.0+情绪0.0,ASML（阿斯麦）
Shopify,Shopify,SHOP,US,2023-11-14,2025-11-12,65.5199966430664,156.58999633789062,91.06999969482422,138.99573315143266,179.00999450683594,2025-10-29,114.8877948042532,0.970494417862839,0.78125,0.9560878243512974,,0.009335267190751978,0,暂不建议入场,21,2025-12-03,19.220524747048106,84.64324,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,15.0,观望,暂不建议入场,观望: 估值0.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产10.0+回报0.0+支撑5.0+情绪0.0,Shopify（Shopify）
ExxonMobil,埃克森美孚,XOM,US,2023-11-14,2025-11-12,104.29000091552734,118.12000274658203,13.830001831054688,13.261100498269906,125.37000274658203,2024-10-07,17.168605050375294,0.9338118022328549,0.9791666666666666,0.846307385229541,,0.058466764470937634,1,暂不建议入场,21,2025-12-03,1.5379380940078375,15.008895,0.38095238095238093,0.0,0.0,7.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,27.0,观望,暂不建议入场,观望: 估值0.0+绝对7.0+同行0.0+PEG0.0+增长0.0+资产0.0+回报10.0+支撑0.0+情绪0.0,ExxonMobil（埃克森美孚）
Chevron,雪佛龙,CVX,US,2023-11-14,2025-11-12,145.0500030517578,153.32000732421875,8.270004272460938,5.7014850730544095,168.50999450683594,2025-04-01,21.56399540425018,0.511164274322169,0.7708333333333334,0.5229540918163673,,0.05031628598545781,1,暂不建议入场,12,2025-11-24,1.5957198426196848,13.887682,0.38095238095238093,0.0,1.0,7.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,38.0,观望,暂不建议入场,观望: 估值1.0+绝对7.0+同行0.0+PEG0.0+增长0.0+资产0.0+回报10.0+支撑10.0+情绪0.0,Chevron（雪佛龙）
Eli Lilly,礼来,LLY,US,2023-11-14,2025-11-12,610.8200073242188,1017.780029296875,406.96002197265625,66.62519516271261,1017.780029296875,2025-11-12,49.7935435076749,1.0,0.7395833333333334,1.0,,0.007065728801612215,0,暂不建议入场,21,2025-12-03,15.395285097764523,44.91527,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,观望,暂不建议入场,观望: 估值0.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产0.0+回报10.0+支撑0.0+情绪0.0,Eli Lilly（礼来）
Johnson & Johnson,强生,JNJ,US,2023-11-14,2025-11-12,147.66000366210938,194.38999938964844,46.72999572753906,31.647023275491303,194.38999938964844,2025-11-12,18.76351345459927,1.0,0.6979166666666666,1.0,,0.03988317333432991,0,暂不建议入场,21,2025-12-03,5.12317607915116,18.338678,0.38095238095238093,0.0,1.0,1.0,10.0,0.0,0.0,4.0,10.0,5.0,0.0,31.0,观望,暂不建议入场,观望: 估值1.0+绝对1.0+同行0.0+PEG0.0+增长0.0+资产4.0+回报10.0+支撑5.0+情绪0.0,Johnson & Johnson（强生）
Costco,好市多,COST,US,2023-11-14,2025-11-12,590.7999877929688,914.0,323.20001220703125,54.70548728587461,1076.8599853515625,2025-02-13,50.19220208676551,0.8078149920255183,0.043478260869565216,0.5189620758483033,,0.019347475499284186,1,暂不建议入场,21,2025-12-03,1.4767790578959799,46.44309,0.45634920634920634,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,50.0,合理区,暂不建议入场,合理区: 估值10.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产10.0+回报10.0+支撑10.0+情绪0.0,Costco（好市多）
LVMH,路威酩轩,LVMUY,EU,2023-11-14,2025-11-12,153.86000061035156,150.13999938964844,-3.720001220703125,-2.417783183378492,190.49000549316406,2024-03-14,,0.5606060606060606,,,,,0,暂不建议入场,12,2025-11-24,,22.64555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,观望,暂不建议入场,观望: 估值0.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产0.0+回报7.0+支撑0.0+情绪0.0,LVMH（路威酩轩）
Xiaomi Group,小米集团,1810.HK,HK,2023-11-14,2025-11-12,15.859999656677246,43.70000076293945,27.840001106262207,175.5359502453787,60.150001525878906,2025-07-02,34.14062559604645,0.8607491856677525,0.05194805194805195,0.6517311608961304,,,1,暂不建议入场,21,2025-12-03,5.715487651064678,38.566372,0.6111111111111112,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,25.0,观望,暂不建议入场,观望: 估值10.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产10.0+回报0.0+支撑5.0+情绪0.0,Xiaomi Group（小米集团）
Tencent Holdings,腾讯控股,0700.HK,HK,2023-11-14,2025-11-12,307.79998779296875,657.0,349.20001220703125,113.4503008628801,677.5,2025-10-06,29.522782421137773,0.9804560260586319,0.948051948051948,0.9837067209775967,,,0,暂不建议入场,21,2025-12-03,17.577864192279982,24.170353,0.6111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,14.0,观望,暂不建议入场,观望: 估值0.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产7.0+回报7.0+支撑0.0+情绪0.0,Tencent Holdings（腾讯控股）
ZTE Corporation,中兴通讯,0763.HK,HK,2023-11-14,2025-11-12,18.739999771118164,30.399999618530273,11.65999984741211,62.21985053266833,43.29999923706055,2025-10-13,,0.9381107491856677,,0.8737270875763747,,0.007678382493674873,0,暂不建议入场,21,2025-12-03,1.1216889225566478,13.157448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10.0,0.0,24.0,观望,暂不建议入场,观望: 估值0.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产7.0+回报7.0+支撑10.0+情绪0.0,ZTE Corporation（中兴通讯）
Pop Mart,泡泡玛特,9992.HK,HK,2023-11-14,2025-11-12,22.899999618530273,220.0,197.10000038146973,860.6987059597151,335.3999938964844,2025-08-26,,0.9057071960297767,,,,,0,暂不建议入场,21,2025-12-03,,393.21426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,17.0,观望,暂不建议入场,观望: 估值0.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产10.0+回报7.0+支撑0.0+情绪0.0,Pop Mart（泡泡玛特）
Alibaba Group,阿里巴巴,9988.HK,HK,2023-11-14,2025-11-12,79.19999694824219,156.8000030517578,77.60000610351562,97.97980946164408,185.10000610351562,2025-10-03,20.310881224320962,0.7833876221498371,0.7727272727272727,0.9287169042769857,,0.011342740551884157,0,暂不建议入场,21,2025-12-03,2.9991772861474177,17.118645,0.6111111111111112,0.0,0.0,0.0,10.0,0.0,0.0,10.0,7.0,10.0,0.0,37.0,观望,暂不建议入场,观望: 估值0.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产10.0+回报7.0+支撑10.0+情绪0.0,Alibaba Group（阿里巴巴）
Baidu,百度,9888.HK,HK,2023-11-14,2025-11-12,103.80000305175781,126.30000305175781,22.5,21.67629994074357,139.1999969482422,2025-10-02,12.99382747446068,0.5574057843996494,0.8961038961038961,0.9674134419551935,,-0.024633055295174962,0,暂不建议入场,12,2025-11-24,2.5954790383699833,11.018436,0.6111111111111112,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,观望,暂不建议入场,观望: 估值0.0+绝对0.0+同行0.0+PEG0.0+增长0.0+资产10.0+回报0.0+支撑0.0+情绪0.0,Baidu（百度）
NetEase,网易,9999.HK,HK,2023-11-14,2025-11-12,174.8000030517578,221.60000610351562,46.80000305175781,26.773456656005013,246.39999389648438,2025-09-17,20.827068242811617,0.9714983713355049,0.7597402597402597,0.9287169042769857,,0.06253026728148996,1,暂不建议入场,21,2025-12-03,6.495140185178562,19.460402,0.6111111111111112,0.0,0.0,10.0,5.0,0.0,0.0,10.0,10.0,5.0,0.0,40.0,合理区,暂不建议入场,观望: 估值0.0+绝对10.0+同行0.0+PEG0.0+增长0.0+资产10.0+回报10.0+支撑5.0+情绪0.0,NetEase（网易）
Perfect World,完美世界,002624.SZ,CN,2023-11-14,2025-11-12,13.5,15.4399995803833,1.9399995803833008,14.370367262098524,19.75,2025-09-25,,0.6787778695293146,,0.878099173553719,,0.03366084999130263,0,暂不建议入场,12,2025-11-24,4.48531263298868,35.181816,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,7.0,10.0,0.0,28.0,观望,暂不建议入场,观望: 估值0.0+绝对1.0+同行0.0+PEG0.0+增长0.0+资产10.0+回报7.0+支撑10.0+情绪0.0,Perfect World（完美世界）
